customer_id,first_name,last_name,email,signup_date
1,First1,Last1,user1@example.com,2025-06-26
2,First2,Last2,user2@example.com,2024-06-11
3,First3,Last3,user3@example.com,2024-06-27
4,First4,Last4,user4@example.com,2025-08-13
5,First5,Last5,user5@example.com,2025-09-27
6,First6,Last6,user6@example.com,2025-07-25
7,First7,Last7,user7@example.com,2025-06-11
8,First8,Last8,user8@example.com,2024-02-11
9,First9,Last9,user9@example.com,2025-06-04
10,First10,Last10,user10@example.com,2023-12-19
11,First11,Last11,user11@example.com,2024-09-08
12,First12,Last12,user12@example.com,2024-03-14
13,First13,Last13,user13@example.com,2025-09-10
14,First14,Last14,user14@example.com,2024-10-16
15,First15,Last15,user15@example.com,2024-10-20
16,First16,Last16,user16@example.com,2024-03-14
17,First17,Last17,user17@example.com,2024-07-23
18,First18,Last18,user18@example.com,2024-05-22
19,First19,Last19,user19@example.com,2025-03-02
20,First20,Last20,user20@example.com,2024-04-27
21,First21,Last21,user21@example.com,2025-11-03
22,First22,Last22,user22@example.com,2023-12-19
23,First23,Last23,user23@example.com,2025-07-20
24,First24,Last24,user24@example.com,2023-12-17
25,First25,Last25,user25@example.com,2024-05-14
26,First26,Last26,user26@example.com,2025-02-14
27,First27,Last27,user27@example.com,2024-01-28
28,First28,Last28,user28@example.com,2024-12-01
29,First29,Last29,user29@example.com,2025-07-23
30,First30,Last30,user30@example.com,2025-01-18
31,First31,Last31,user31@example.com,2024-08-26
32,First32,Last32,user32@example.com,2025-06-06
33,First33,Last33,user33@example.com,2024-08-07
34,First34,Last34,user34@example.com,2025-11-11
35,First35,Last35,user35@example.com,2025-02-18
36,First36,Last36,user36@example.com,2024-06-20
37,First37,Last37,user37@example.com,2025-05-16
38,First38,Last38,user38@example.com,2024-06-13
39,First39,Last39,user39@example.com,2025-07-29
40,First40,Last40,user40@example.com,2024-02-13
41,First41,Last41,user41@example.com,2025-01-13
42,First42,Last42,user42@example.com,2024-01-30
43,First43,Last43,user43@example.com,2024-06-13
44,First44,Last44,user44@example.com,2024-03-01
45,First45,Last45,user45@example.com,2025-04-25
46,First46,Last46,user46@example.com,2025-06-11
47,First47,Last47,user47@example.com,2024-10-28
48,First48,Last48,user48@example.com,2025-06-02
49,First49,Last49,user49@example.com,2024-05-11
50,First50,Last50,user50@example.com,2024-05-20
51,First51,Last51,user51@example.com,2025-11-14
52,First52,Last52,user52@example.com,2024-03-11
53,First53,Last53,user53@example.com,2024-12-18
54,First54,Last54,user54@example.com,2024-07-02
55,First55,Last55,user55@example.com,2025-10-26
56,First56,Last56,user56@example.com,2025-07-23
57,First57,Last57,user57@example.com,2024-11-08
58,First58,Last58,user58@example.com,2025-01-04
59,First59,Last59,user59@example.com,2025-03-14
60,First60,Last60,user60@example.com,2025-09-16
61,First61,Last61,user61@example.com,2025-03-13
62,First62,Last62,user62@example.com,2024-04-13
63,First63,Last63,user63@example.com,2025-08-26
64,First64,Last64,user64@example.com,2025-08-19
65,First65,Last65,user65@example.com,2024-07-05
66,First66,Last66,user66@example.com,2025-09-05
67,First67,Last67,user67@example.com,2024-05-18
68,First68,Last68,user68@example.com,2025-07-09
69,First69,Last69,user69@example.com,2025-07-06
70,First70,Last70,user70@example.com,2024-01-09
71,First71,Last71,user71@example.com,2024-07-16
72,First72,Last72,user72@example.com,2024-05-01
73,First73,Last73,user73@example.com,2025-05-29
74,First74,Last74,user74@example.com,2025-02-16
75,First75,Last75,user75@example.com,2024-05-23
76,First76,Last76,user76@example.com,2024-03-03
77,First77,Last77,user77@example.com,2024-09-07
78,First78,Last78,user78@example.com,2025-04-12
79,First79,Last79,user79@example.com,2024-05-11
80,First80,Last80,user80@example.com,2023-12-09
81,First81,Last81,user81@example.com,2025-04-23
82,First82,Last82,user82@example.com,2023-11-15
83,First83,Last83,user83@example.com,2024-12-30
84,First84,Last84,user84@example.com,2024-10-02
85,First85,Last85,user85@example.com,2023-12-28
86,First86,Last86,user86@example.com,2024-01-19
87,First87,Last87,user87@example.com,2024-10-28
88,First88,Last88,user88@example.com,2024-08-23
89,First89,Last89,user89@example.com,2024-06-03
90,First90,Last90,user90@example.com,2024-08-09
91,First91,Last91,user91@example.com,2025-07-14
92,First92,Last92,user92@example.com,2025-03-06
93,First93,Last93,user93@example.com,2025-03-29
94,First94,Last94,user94@example.com,2025-09-10
95,First95,Last95,user95@example.com,2024-12-03
96,First96,Last96,user96@example.com,2025-10-24
97,First97,Last97,user97@example.com,2024-03-22
98,First98,Last98,user98@example.com,2024-04-26
99,First99,Last99,user99@example.com,2025-03-24
100,First100,Last100,user100@example.com,2024-03-22
101,First101,Last101,user101@example.com,2025-04-03
102,First102,Last102,user102@example.com,2025-11-07
103,First103,Last103,user103@example.com,2025-09-03
104,First104,Last104,user104@example.com,2023-11-21
105,First105,Last105,user105@example.com,2024-02-07
106,First106,Last106,user106@example.com,2025-09-15
107,First107,Last107,user107@example.com,2025-03-25
108,First108,Last108,user108@example.com,2025-09-06
109,First109,Last109,user109@example.com,2025-10-13
110,First110,Last110,user110@example.com,2024-12-11
111,First111,Last111,user111@example.com,2025-09-03
112,First112,Last112,user112@example.com,2024-06-06
113,First113,Last113,user113@example.com,2025-03-16
114,First114,Last114,user114@example.com,2025-02-02
115,First115,Last115,user115@example.com,2023-12-30
116,First116,Last116,user116@example.com,2024-07-05
117,First117,Last117,user117@example.com,2025-04-09
118,First118,Last118,user118@example.com,2024-05-11
119,First119,Last119,user119@example.com,2025-07-02
120,First120,Last120,user120@example.com,2024-04-09
